ticket_id,created_date,resolved_date,first_response_date,category,priority,status,department_id,agent_id,reopened_flag,resolution_notes
55,2024-01-02 15:34:29,2024-01-02 21:14:36,2024-01-02 16:06:01,Software,High,Resolved,3,15,0,Eos quam optio voluptatem.
56,2024-05-04 08:40:38,,2024-05-04 12:15:08,Access,Medium,In Progress,2,3,0,
57,2024-04-30 15:09:31,2024-05-01 05:17:45,2024-04-30 16:20:18,Other,High,Resolved,6,16,0,Minima beatae quas distinctio facilis earum sapiente.
58,2024-05-19 17:17:49,2024-05-20 05:41:08,2024-05-19 18:39:08,Access,Medium,Resolved,8,1,0,Minus modi voluptatum eligendi ea maxime.
59,2025-07-05 13:21:35,2025-07-08 19:17:05,2025-07-05 14:30:25,Access,Medium,Closed,8,8,0,Laudantium itaque a velit.
60,2025-01-25 13:42:50,,2025-01-25 15:09:22,Other,Medium,Open,1,19,0,
61,2025-04-12 08:09:26,2025-04-14 19:31:13,2025-04-12 13:23:25,Access,Low,Resolved,1,9,0,Fugiat inventore ducimus exercitationem omnis ullam voluptate.
62,2025-01-24 18:40:45,2025-01-24 23:05:14,2025-01-24 22:16:15,Software,Medium,Closed,5,7,0,Repellendus aspernatur eos eos repudiandae harum.
63,2024-04-12 13:44:19,2024-04-13 02:16:12,2024-04-12 14:19:45,Other,Critical,Resolved,6,12,0,Voluptatibus harum ducimus voluptatem.
64,2025-01-26 14:15:31,2025-01-26 18:09:55,2025-01-26 16:08:50,Hardware,Medium,Resolved,2,1,0,Ducimus quo praesentium veniam praesentium.
65,2025-08-24 12:27:44,2025-08-26 14:27:29,2025-08-25 03:03:32,Software,Low,Resolved,1,16,1,Nesciunt quo similique a eum laborum accusantium.
66,2025-11-05 13:00:36,2025-11-07 21:17:17,2025-11-05 19:35:19,Access,Low,Closed,8,16,0,Excepturi molestias inventore unde quos unde.
67,2024-07-13 14:43:48,2024-07-13 18:58:07,2024-07-13 16:32:26,Access,Medium,Resolved,7,2,0,Excepturi provident facere delectus odio totam reprehenderit.
68,2026-02-04 13:12:08,,2026-02-04 15:38:48,Access,Low,Open,3,9,0,
69,2024-10-29 16:21:51,2024-10-30 00:24:57,2024-10-29 22:18:48,Hardware,Low,Resolved,1,13,0,Soluta perferendis ad officiis tempore quidem.
70,2025-04-10 12:47:43,,2025-04-10 15:10:40,Software,Medium,In Progress,5,8,0,
71,2025-09-16 11:04:40,2025-09-21 16:32:57,2025-09-16 20:26:36,Access,Low,Reopened,2,5,1,Recusandae nobis provident magni officiis dignissimos praesentium magni.
72,2025-07-04 10:29:23,,2025-07-04 12:59:07,Network,Medium,Open,8,5,0,
73,2024-10-13 08:23:13,2024-10-18 22:35:02,2024-10-13 14:57:28,Software,Low,Resolved,8,7,0,Tenetur dolor voluptate incidunt officiis consequatur.
74,2025-04-10 09:13:41,,2025-04-10 11:20:28,Network,Low,Open,1,5,0,
75,2025-08-23 11:55:14,2025-08-25 07:11:34,2025-08-23 12:59:05,Software,High,Closed,8,1,0,Dolore perferendis ducimus.
76,2025-01-01 16:15:37,2025-01-01 19:52:28,2025-01-01 16:58:57,Hardware,Critical,Resolved,6,3,1,Deserunt ex quisquam officiis alias aliquam.
77,2025-11-05 14:29:41,2025-11-05 15:44:28,2025-11-05 16:09:00,Other,Critical,Resolved,4,4,0,Aut iure voluptatibus quam.
78,2025-10-10 14:45:20,,2025-10-11 00:29:20,Software,Medium,Open,2,14,0,
79,2026-02-26 14:55:13,2026-02-27 21:01:39,2026-02-26 16:19:43,Software,Low,Resolved,4,13,0,Provident voluptas similique.
80,2025-04-30 09:53:05,2025-04-30 13:28:41,2025-04-30 15:43:11,Hardware,High,Resolved,6,18,0,Atque odit quod.
81,2026-02-07 13:58:46,2026-02-08 18:19:48,2026-02-07 15:13:48,Hardware,High,Resolved,2,7,0,Error molestias quis totam nulla quidem.
82,2026-02-19 12:14:51,,2026-02-19 23:42:30,Software,Medium,Open,6,18,0,
83,2024-07-03 12:48:19,2024-07-10 00:51:16,2024-07-03 14:30:47,Other,Medium,Resolved,1,7,0,Explicabo nulla nostrum voluptas nam.
84,2025-03-05 13:10:23,2025-03-07 12:53:01,2025-03-05 17:55:37,Software,Low,Resolved,5,5,0,Facere aut eos itaque laudantium.
85,2025-03-28 13:13:48,2025-03-28 14:30:30,2025-03-28 13:30:09,Software,High,Resolved,5,17,0,Reiciendis doloremque dolores autem saepe saepe voluptatum ratione.
86,2024-08-04 16:48:16,2024-08-05 02:13:39,2024-08-04 18:07:49,Software,High,Resolved,4,5,0,Dolor accusamus maxime illo optio maxime nisi optio.
87,2026-01-29 09:01:29,2026-02-01 23:57:00,2026-01-29 14:06:46,Other,Low,Reopened,5,14,1,Ea odio asperiores maxime voluptates.
88,2025-04-16 16:58:23,2025-04-26 18:03:27,2025-04-17 15:00:18,Hardware,Low,Closed,2,17,0,Eos fuga esse aut.
89,2025-10-10 10:32:12,2025-10-11 22:21:12,2025-10-10 12:16:26,Other,Medium,Resolved,6,5,0,Magnam quibusdam officia officiis et.
90,2024-06-30 18:40:31,2024-07-01 03:31:28,2024-06-30 22:13:55,Software,Medium,Resolved,5,19,0,Numquam iure vel ab.
91,2025-04-25 13:19:50,2025-04-25 14:23:27,2025-04-25 15:07:52,Software,Critical,Resolved,4,15,0,Laborum nesciunt deleniti error quos ex at.
92,2025-01-28 13:35:50,2025-02-08 16:10:18,2025-01-28 15:21:45,Hardware,Low,Resolved,5,7,0,Numquam soluta cumque corrupti laboriosam aperiam.
93,2026-01-01 09:41:11,2026-01-01 18:59:20,2026-01-01 16:55:12,Hardware,Medium,Resolved,8,20,0,Enim eligendi ex officia explicabo fuga.
94,2025-10-08 15:04:21,2025-10-10 17:02:23,2025-10-08 16:32:21,Hardware,Medium,Resolved,2,20,0,Perspiciatis dolorem ratione ea ut.
95,2025-12-16 15:08:38,,2025-12-16 16:24:57,Access,High,Open,4,11,0,
96,2025-12-02 18:05:41,2025-12-02 20:52:30,2025-12-02 20:56:47,Network,Medium,Resolved,1,7,0,Repellendus et accusamus dignissimos hic sit ratione.
97,2024-04-13 14:34:53,2024-04-14 08:42:42,2024-04-13 16:11:12,Access,Medium,Resolved,5,20,0,Illum necessitatibus blanditiis sit quam error consequatur.
98,2024-06-18 15:02:26,2024-06-19 11:52:53,2024-06-18 16:12:21,Software,Medium,Reopened,8,15,1,Aperiam illo commodi.
99,2024-07-17 12:36:28,2024-07-17 20:20:52,2024-07-17 14:05:23,Software,High,Resolved,3,6,0,Modi vel accusamus voluptatum optio dolor eveniet quasi.
100,2025-07-21 18:45:54,2025-07-21 20:29:50,2025-07-21 19:12:02,Network,High,Resolved,1,3,0,Consequuntur numquam dolor hic similique dolor porro.
101,2024-12-23 18:26:03,,2024-12-24 05:54:30,Software,Medium,Open,3,1,0,
102,2024-05-29 10:18:58,2024-05-29 15:45:58,2024-05-29 13:36:53,Access,Medium,Resolved,1,15,0,Odit nostrum doloribus at dolores excepturi voluptatem.
103,2025-09-15 14:07:49,,2025-09-15 14:53:06,Software,Medium,In Progress,1,20,0,
104,2024-01-17 15:36:15,2024-01-17 16:51:51,2024-01-17 16:52:01,Access,High,Resolved,1,19,0,Assumenda ex totam praesentium in quo mollitia placeat.
105,2025-06-03 16:32:35,2025-06-05 20:35:56,2025-06-03 17:26:49,Hardware,Low,Closed,1,12,0,Magnam harum accusamus blanditiis fugiat.
106,2025-08-18 16:21:08,2025-08-18 20:02:22,2025-08-18 18:58:38,Hardware,Medium,Resolved,7,7,0,Praesentium nemo adipisci sed ab animi quae illum.
107,2025-04-13 08:12:02,2025-04-14 03:05:45,2025-04-13 12:28:33,Access,Low,Resolved,2,13,0,Autem ipsam voluptatem aperiam.
108,2024-02-18 17:21:17,2024-02-19 12:01:10,2024-02-18 18:21:09,Hardware,Medium,Resolved,8,13,0,Totam praesentium alias aut et.
109,2024-03-25 15:05:27,2024-03-26 02:41:23,2024-03-25 17:46:58,Network,Low,Resolved,4,3,0,Accusamus quis rerum minima fugiat corporis.
110,2025-04-02 09:55:58,2025-04-04 10:42:45,2025-04-03 04:25:22,Software,Low,Resolved,2,2,0,Corporis nihil cumque a.
111,2024-05-26 17:43:50,2024-05-27 04:36:30,2024-05-26 18:50:17,Software,High,Resolved,2,12,0,Ipsam ex earum voluptatem quae.
112,2026-02-20 09:08:33,2026-02-20 16:52:57,2026-02-20 11:08:21,Software,Medium,Resolved,2,1,0,Et rerum expedita eos fugit.
113,2025-04-01 11:39:18,2025-04-10 16:05:48,2025-04-01 18:12:23,Access,Low,Resolved,1,1,0,Atque commodi mollitia sit vel provident non.
114,2024-11-23 15:45:04,2024-11-23 16:58:12,2024-11-23 16:58:17,Network,High,Closed,2,7,0,Aperiam magnam commodi cumque voluptas.
115,2024-05-22 11:31:01,2024-05-23 04:34:54,2024-05-22 12:11:34,Software,Medium,Resolved,4,5,0,Animi omnis facilis quos.
116,2026-02-26 13:36:04,2026-02-26 19:42:47,2026-02-26 16:48:38,Hardware,Medium,Closed,1,17,0,Molestias tempore nemo temporibus aliquam inventore optio.
117,2025-03-19 14:55:03,,2025-03-19 18:19:42,Network,Medium,In Progress,1,8,0,
118,2024-09-13 11:35:17,2024-09-14 08:23:19,2024-09-13 13:50:46,Hardware,Medium,Resolved,4,6,0,Numquam est consectetur sit vitae ad.
119,2025-07-31 09:55:01,2025-08-02 07:29:57,2025-07-31 13:22:59,Hardware,Low,Resolved,6,7,0,Adipisci occaecati fugiat tempore in iste.
120,2024-11-05 13:51:51,2024-11-05 20:31:20,2024-11-05 14:48:26,Access,High,Resolved,1,3,0,Soluta molestias eos unde impedit facilis.
121,2024-12-19 19:08:48,2024-12-20 15:10:32,2024-12-19 19:59:50,Software,Medium,Resolved,2,9,0,Nam magni placeat inventore debitis cupiditate.
122,2024-06-12 16:59:36,2024-06-12 21:13:49,2024-06-12 17:41:13,Access,High,Resolved,1,15,0,Sint officia consectetur accusantium molestiae.
123,2024-08-08 14:03:03,2024-08-09 07:17:31,2024-08-08 17:09:42,Software,Medium,Resolved,7,10,0,Odit repudiandae suscipit at voluptatum consequatur rerum.
124,2025-01-09 09:03:36,2025-01-11 08:10:40,2025-01-09 10:50:33,Software,High,Resolved,3,18,0,Tenetur debitis ducimus itaque maxime alias rem maxime.
125,2024-12-13 14:23:48,2024-12-14 05:09:51,2024-12-13 21:19:39,Hardware,Medium,Resolved,4,1,0,Magnam ullam quo quas sint quia.
126,2024-12-01 18:20:10,2024-12-02 13:22:38,2024-12-01 20:26:22,Software,Medium,Closed,7,17,0,Corporis quis nihil laudantium beatae.
127,2025-11-20 10:26:37,2025-11-22 04:59:41,2025-11-20 17:25:58,Software,Low,Closed,8,20,0,Autem dolorem aliquam minus.
128,2025-08-20 13:33:40,2025-08-26 11:47:21,2025-08-21 12:46:25,Access,Low,Resolved,3,8,0,Suscipit nihil labore tempora.
129,2025-12-08 11:32:49,2025-12-08 16:35:26,2025-12-08 13:44:30,Network,Medium,Reopened,7,5,1,Tenetur quas delectus delectus voluptates labore dolores.
130,2024-06-26 13:34:21,2024-06-26 17:03:58,2024-06-26 14:35:15,Network,Medium,Resolved,8,9,0,Itaque dolorum nostrum ratione ratione vero quisquam temporibus.
131,2024-10-31 16:45:13,2024-11-01 03:12:07,2024-10-31 18:59:19,Access,Medium,Resolved,4,9,0,Fugit voluptatum eum doloremque veritatis numquam quod.
132,2024-05-29 12:18:45,,2024-05-29 16:33:33,Hardware,Low,In Progress,5,7,0,
133,2024-05-20 10:47:37,2024-05-20 11:25:12,2024-05-20 12:40:43,Software,Critical,Closed,8,1,0,A possimus totam in commodi culpa.
134,2024-06-10 13:59:56,2024-06-10 21:08:10,2024-06-10 14:35:17,Access,Medium,Closed,1,11,0,Placeat odio consequatur optio magnam sint ipsum.
135,2024-02-08 18:11:26,2024-02-08 20:57:32,2024-02-08 18:41:19,Access,High,Closed,8,13,1,Aliquam omnis velit soluta eaque quod aliquam.
136,2024-11-01 14:06:59,2024-11-02 02:42:58,2024-11-01 14:56:44,Other,High,Resolved,8,16,0,Totam voluptate iure quisquam est alias.
137,2026-01-18 13:16:45,,2026-01-18 16:25:07,Hardware,Medium,In Progress,6,7,0,
138,2025-06-11 12:25:42,2025-06-12 14:06:26,2025-06-11 14:44:08,Hardware,Low,Closed,4,1,0,Sequi impedit minus ab perspiciatis eos quasi.
139,2024-01-12 11:23:44,2024-01-12 16:11:27,2024-01-12 14:39:35,Software,Medium,Closed,4,7,0,Quidem voluptatem inventore repellat fuga.
140,2024-10-29 12:14:14,2024-10-30 20:07:56,2024-10-29 16:33:08,Other,Medium,Resolved,4,12,0,Ab quos alias quod.
141,2024-09-10 15:38:55,,2024-09-10 18:42:02,Access,Medium,In Progress,4,19,0,
142,2025-07-03 10:20:54,2025-07-04 00:00:04,2025-07-03 11:15:39,Network,High,Resolved,1,3,0,Illum explicabo dolor neque dolorem.
143,2025-07-26 13:51:19,2025-07-26 17:29:04,2025-07-26 15:36:39,Access,Medium,Closed,7,19,0,Veniam alias soluta quia accusantium.
144,2025-04-28 08:26:11,2025-04-29 14:44:20,2025-04-28 14:56:27,Access,Low,Resolved,8,14,0,Alias consequuntur alias culpa illum accusantium.
145,2025-11-08 17:08:41,2025-11-09 08:35:09,2025-11-08 17:42:03,Access,High,Resolved,8,5,0,Error provident delectus fugit.
146,2025-07-11 13:24:52,2025-07-12 10:54:49,2025-07-11 13:55:03,Software,Medium,Resolved,1,7,0,Nulla reiciendis tempora quo minus numquam.
147,2024-09-03 11:06:38,2024-09-04 05:20:32,2024-09-03 18:50:48,Hardware,Medium,Resolved,6,7,0,Atque aliquam consequatur dolorum.
148,2024-10-23 11:58:46,2024-10-24 11:13:01,2024-10-23 12:50:16,Network,Medium,Resolved,6,8,0,Rerum consequatur repudiandae temporibus soluta corrupti saepe laboriosam.
149,2025-08-28 17:58:11,2025-08-29 19:53:47,2025-08-28 19:23:22,Network,Medium,Resolved,4,13,0,Mollitia eos distinctio dolorem.
150,2025-04-29 11:14:19,2025-04-29 13:25:16,2025-04-29 12:19:48,Access,High,Resolved,4,3,0,Blanditiis sint eveniet iste.
151,2025-04-05 17:05:34,,2025-04-05 19:34:09,Access,High,Open,2,20,0,
152,2025-11-18 14:30:13,2025-11-18 21:51:09,2025-11-18 15:16:44,Access,Medium,Reopened,8,1,1,Officiis enim provident delectus nesciunt voluptate laboriosam.
153,2025-09-10 15:25:58,,2025-09-10 16:59:01,Software,Medium,In Progress,2,12,0,
154,2026-01-09 13:53:20,2026-01-11 00:03:55,2026-01-09 14:47:33,Other,Medium,Resolved,4,8,0,Quae officiis dolores corrupti nesciunt sapiente.
155,2024-07-19 12:24:36,2024-07-20 00:12:39,2024-07-19 14:22:24,Access,Medium,Closed,5,9,0,Praesentium provident distinctio doloribus vel optio odit.
156,2024-12-26 11:46:34,2024-12-26 21:56:42,2024-12-26 17:56:46,Software,Low,Resolved,4,2,1,Nihil deleniti dicta voluptatibus nulla.
157,2024-05-20 17:14:04,,2024-05-20 18:04:53,Access,Critical,In Progress,4,20,0,
158,2024-01-17 08:35:26,2024-01-17 14:38:51,2024-01-17 11:13:25,Hardware,Medium,Resolved,2,1,0,Tenetur quos exercitationem quidem provident asperiores delectus.
159,2025-06-20 10:12:39,2025-06-21 03:14:59,2025-06-20 13:56:54,Network,Low,Resolved,2,12,0,Ad ullam laudantium quod provident quam voluptates.
160,2024-03-23 15:54:41,2024-03-23 21:05:48,2024-03-23 17:14:09,Access,High,Resolved,3,2,0,Fugiat esse optio recusandae corrupti reiciendis.
161,2024-04-07 17:58:02,,2024-04-08 03:53:50,Software,Low,In Progress,5,9,0,
162,2025-07-31 15:11:59,2025-07-31 18:29:16,2025-07-31 16:02:34,Access,Critical,Resolved,1,7,0,Tempore dolore doloremque dolorum consequuntur.
163,2025-07-07 12:48:47,,2025-07-08 04:15:24,Hardware,Low,Open,6,12,0,
164,2026-02-26 14:38:25,,2026-02-26 17:43:02,Other,Medium,In Progress,5,15,0,
165,2025-11-27 14:24:05,2025-11-27 17:21:17,2025-11-27 15:44:24,Access,High,Resolved,2,3,0,Omnis assumenda quas hic ducimus fuga hic.
166,2024-01-06 18:28:23,2024-01-06 19:54:21,2024-01-06 19:19:33,Access,High,Resolved,1,18,0,Aspernatur molestiae voluptates eum neque sequi minima.
167,2024-11-28 17:00:18,2024-12-04 12:33:55,2024-11-28 18:53:25,Software,Low,Resolved,6,8,0,Placeat doloribus repellat placeat odit.
168,2024-03-05 11:17:26,2024-03-08 04:33:30,2024-03-05 13:20:31,Software,Low,Resolved,3,16,0,Reiciendis incidunt maiores beatae voluptas eos nulla.
169,2025-09-27 13:55:21,,2025-09-27 15:20:55,Software,Medium,In Progress,7,20,0,
170,2024-11-17 11:25:20,2024-11-18 08:50:11,2024-11-17 12:43:09,Software,Medium,Closed,4,8,0,In provident ab asperiores quod nisi nihil.
171,2025-07-12 11:49:35,,2025-07-12 12:26:51,Hardware,Medium,Open,8,3,0,
172,2025-11-20 13:40:19,2025-11-21 10:54:40,2025-11-20 15:59:07,Software,Medium,Resolved,6,3,0,Eos totam nostrum veritatis iste voluptatem.
173,2025-03-04 14:50:23,2025-03-08 13:40:45,2025-03-04 16:22:32,Access,Medium,Resolved,8,1,0,Illum quidem nam beatae veritatis nostrum quaerat.
174,2025-02-13 19:21:50,2025-02-14 00:47:05,2025-02-13 19:55:03,Hardware,High,Resolved,4,19,0,Architecto corrupti delectus ipsa.
175,2024-06-03 12:01:30,2024-06-05 23:24:58,2024-06-03 18:47:43,Hardware,Medium,Resolved,8,7,0,Vel tempore quas rerum similique sequi maxime.
176,2025-03-24 15:28:20,2025-03-26 05:01:24,2025-03-24 16:23:53,Hardware,Medium,Reopened,1,4,1,Commodi repellendus harum optio.
177,2024-06-12 12:27:29,,2024-06-12 15:13:03,Software,Medium,In Progress,1,14,0,
178,2025-03-15 13:45:13,2025-03-18 01:44:49,2025-03-15 16:38:23,Access,Low,Resolved,1,7,0,Omnis impedit laboriosam dolor alias.
179,2025-10-16 12:24:39,2025-10-16 14:28:31,2025-10-16 13:44:25,Software,High,Resolved,3,6,0,Sapiente quae facilis laudantium.
180,2024-04-30 11:07:11,2024-04-30 18:54:04,2024-04-30 11:37:00,Software,High,Resolved,3,19,0,Quae tenetur sed magni.
181,2025-07-22 11:18:08,2025-07-24 10:28:12,2025-07-22 13:21:03,Hardware,Low,Resolved,5,1,0,Iure corporis praesentium doloremque quos eos debitis quisquam.
182,2025-05-18 13:53:28,2025-05-18 20:51:38,2025-05-18 16:56:43,Software,High,Resolved,1,10,0,Vero fugit quia architecto.
183,2025-05-22 14:07:36,2025-05-24 18:22:09,2025-05-22 17:45:05,Hardware,Low,Resolved,7,2,0,Reiciendis nisi sapiente unde quaerat non mollitia.
184,2024-09-10 12:02:28,,2024-09-10 14:21:27,Software,Low,Open,1,4,0,
185,2024-12-25 17:39:40,2024-12-29 16:10:27,2024-12-25 19:45:51,Software,Medium,Resolved,6,2,0,Molestiae necessitatibus asperiores ut praesentium.
186,2025-08-09 12:54:32,,2025-08-09 20:03:38,Other,Medium,Open,1,14,0,
187,2024-05-15 11:45:20,2024-05-25 16:07:41,2024-05-15 16:34:24,Access,Low,Resolved,5,19,0,Numquam fugit molestias velit voluptas dolore.
188,2025-02-16 14:17:44,2025-02-19 01:31:19,2025-02-17 13:52:20,Software,Low,Resolved,3,7,0,Ea nostrum qui molestiae.
189,2025-02-11 11:27:52,,2025-02-11 17:18:34,Software,Low,In Progress,3,19,0,
190,2024-02-17 10:50:53,2024-02-17 21:02:45,2024-02-17 11:43:57,Software,High,Reopened,8,1,1,Eius accusantium dolore distinctio.
